"","Time","PDCSAP_FLUX","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State"
"trend[2]",1333.62809571451,-5.39785996370324,-4.34298656120414,-4.82701345881742,"1","1"
"trend[3]",1333.62948459664,1.94344863004676,-3.9356247064503,-4.5702648432117,"1","1"
"trend[4]",1333.63087347877,-8.70279160432324,-3.51714218460978,-4.29613753548861,"1","1"
"trend[5]",1333.6322623609,1.39486464567676,-3.08871618210757,-4.00243361916844,"1","1"
"trend[6]",1333.63365124301,3.49569472379676,-2.65161841998114,-3.69025404397057,"1","1"
"trend[7]",1333.63504012514,-9.63980332307324,-2.20703246368975,-3.36051191923064,"1","1"
"trend[8]",1333.63642900727,-16.1488365262032,-1.75624084272937,-3.01073584339185,"1","1"
"trend[9]",1333.63781788937,-1.16385117463324,-1.30058040733383,-2.64353422630386,"1","1"
"trend[10]",1333.63920677151,4.21749648160676,-0.841182566848081,-2.25841485731299,"1","1"
"trend[11]",1333.64059565361,-1.93948594026324,-0.379443487300202,-1.85569480888705,"1","1"
"trend[12]",1333.64198453574,-15.0045494168232,0.0834021185459532,-1.43573334049615,"1","1"
"trend[13]",1333.64337341788,0.0672279269267619,0.546064778663147,-1.00078509002684,"1","1"
"trend[14]",1333.64476229998,-3.77090683870324,1.00717168202524,-0.553083774582181,"1","1"
"trend[15]",1333.64615118208,-0.838900002763239,1.46553939559757,-0.094948782365114,"1","1"
"trend[16]",1333.64754006421,3.39278945036676,1.91987533716516,0.369195498803533,"1","1"
"trend[17]",1333.64892894632,13.9527259737968,2.36888140670847,0.839758940060136,"1","1"
"trend[18]",1333.65031782845,4.12850722379676,2.81138125197105,1.31511570697988,"1","1"
"trend[19]",1333.65170671055,6.88790663786676,3.24594169627656,1.7928502412623,"1","1"
"trend[20]",1333.65309559266,3.42831191129676,3.67139184282548,2.2726538258347,"1","1"
"trend[21]",1333.65448447479,3.04623183317676,4.08661811795662,2.75325072950704,"1","1"
"trend[22]",1333.65587335689,-4.78958359651324,4.49060952618188,3.23455908750894,"1","1"
"trend[23]",1333.657262239,1.28695448942676,4.88192752210069,3.71651629144656,"1","1"
"trend[24]",1333.6586511211,-5.40774765901324,5.25974984042585,4.19871576409722,"1","1"
"trend[25]",1333.6600400032,2.02596816129676,5.62282825526439,4.68116968499091,"1","1"
"trend[26]",1333.66142888534,-2.52908554963324,5.97014143682104,5.16050543515093,"1","1"
"trend[27]",1333.66281776744,3.79647597379676,6.30077495685808,5.63516432449902,"1","1"
"trend[28]",1333.66420664954,10.2289710909868,6.61381582945798,6.09853491997563,"1","1"
"trend[29]",1333.66559553165,2.94137343473676,6.90835692525903,6.5483974363507,"1","1"
"trend[30]",1333.66698441375,17.5199867159868,7.18361855134468,6.98220120824312,"1","1"
"trend[31]",1333.66837329585,13.0363441378668,7.43867562441996,7.39519683494742,"1","1"
"trend[32]",1333.66976217796,34.5190101534868,7.67290436774952,7.78329261685558,"1","2"
"trend[33]",1333.67115106006,-0.198397073073238,7.88555992408416,8.14765245547187,"1","1"
"trend[34]",1333.67253994216,9.36874159879676,8.07621054427546,8.49054683580071,"1","1"
"trend[35]",1333.67392882424,0.74569472379676,8.24421806243352,8.81354366687823,"1","1"
"trend[36]",1333.67531770634,2.15267714567676,8.38922130918919,9.11475717243063,"1","1"
"trend[37]",1333.67670658844,11.1986976534868,8.51073652151551,9.39509672961277,"1","1"
"trend[38]",1333.67809547055,5.90047988004676,8.60843109507079,9.65575633177358,"1","1"
"trend[39]",1333.67948435262,9.45394667692676,8.68204484773836,9.89436398169956,"1","1"
"trend[40]",1333.68087323472,9.25546034879676,8.73122466634512,10.1078896604636,"1","1"
"trend[41]",1333.68226211683,0.0188880831767619,8.7559286360438,10.2962581637532,"1","1"
"trend[42]",1333.68365099893,14.8307777316068,8.75607690664356,10.4579808649213,"1","1"
"trend[43]",1333.685039881,18.7218910128668,8.73180620490226,10.5922330767948,"1","1"
"trend[44]",1333.68642876311,10.7292152316068,8.68305470581508,10.6981697779359,"1","1"
"trend[45]",1333.68781764518,-0.828157815263239,8.6100080620884,10.7748945725261,"1","1"
